stazPart,stazArr
BOZZOLO,MILANO
PIACENZA,MILANO
CODOGNO,PAVIA
SIENA,FIRENZE
NOVI,TORINO
ASTI,MILANO
ASTI,TORINO
ASTI,ACQUI
ASTI,VOGHERA
MANTOVA,MONSELICE
MANTOVA,VERONA
AREZZO,PISTOIA
FIRENZE,BORGO
BORGO,FIRENZE
AREZZO,PRATO
FIRENZE,AREZZO
BIELLA,TORINO
PORTO,MILANO
MILANO,PORTO
SAN,BARI
FOGGIA,BARI
CATTOLICA,BOLOGNA
BOLOGNA,RAVENNA
VIAREGGIO,FIRENZE
PISTOIA,FIRENZE
CAGLIARI,SAN
CAGLIARI,ORISTANO
CREMONA,MILANO
CREMONA,TREVIGLIO
CREMONA,BRESCIA
ALA,BOLZANO
TRENTO,BOLZANO
SACILE,MANIAGO
SACILE,VENEZIA
LUCCA,PIAZZA
LUCCA,PONTEDERA
LUCCA,FIRENZE
LUCCA,PISA
MERANO,BRENNERO
BOLZANO,ROVERETO
PUNTA,PALERMO
PALERMO,PUNTA
PALERMO,PUNTA
PUNTA,PALERMO
PORTOGRUARO,VENEZIA
PORTOGRUARO,TREVISO
PORTOGRUARO,TRIESTE
PORTOGRUARO,VENEZIA
PORTOGRUARO,TREVISO
PORTOGRUARO,CASARSA
BARLETTA,BARI
PIACENZA,BOLOGNA
PESCARA,SULMONA
TARVISIO,TRIESTE
UDINE,TRIESTE
UDINE,TRIESTE
TRIESTE,PORTOGRUARO
TRIESTE,UDINE
RIMINI,BOLOGNA
RIMINI,ANCONA
RIMINI,ANCONA
FERRARA,RAVENNA
CASERTA,NAPOLI
CASERTA,SALERNO
CHIVASSO,PINEROLO
MONTEROTONDO,CESANO
ROMA,CIVITAVECCHIA
ORTE,FIUMICINO
FIUMICINO,FARA
MONTEROTONDO,CESANO
ROMA,CIVITAVECCHIA
FARA,FIUMICINO
FIUMICINO,POGGIO
ROMA,LA SPEZIA
CESANO,FARA
ROMA,LADISPOLI-CERVETERI
SAVONA,GENOVA
SAVONA,RECCO
REGGIO,GUASTALLA
REGGIO,CIANO
TORINO,FOSSANO
CHIERI,RIVAROLO
RIVAROLO,CHIERI
TORINO,CUNEO
PINEROLO,CHIVASSO
ROMA,VELLETRI
FROSINONE,ROMA
FIRENZE,LIVORNO
FIRENZE,LIVORNO
PISA,FIRENZE
EMPOLI,FIRENZE
EMPOLI,SIENA
FIRENZE,PONTASSIEVE
PALERMO,CEFALU`
LUINO,MILANO
MILANO,ARONA
GALLARATE,LUINO
VERONA,VENEZIA
VICENZA,VENEZIA
VICENZA,SCHIO
VICENZA,TREVISO
ANCONA,FABRIANO
ANCONA,PESARO
ANCONA,JESI
CHIASSO,MILANO
COMO,MILANO
